Date : 2024-10-14 13:45:39
Directory : c:\Users\cadel\OneDrive\Desktop\ByteJam-Project
Total : 83 files,  271 codes, 51 comments, 78 blanks, all 400 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\bin\test                                               |          1 |         -5 |          0 |          0 |         -5 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\bin\test\bytejam                                       |          1 |         -5 |          0 |          0 |         -5 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\bin\test\bytejam\project                               |          1 |         -5 |          0 |          0 |         -5 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src                                                    |         17 |       -701 |        -69 |       -236 |     -1,006 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main                                               |         16 |       -698 |        -66 |       -234 |       -998 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java                                          |         16 |       -698 |        -66 |       -234 |       -998 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam                                  |         16 |       -698 |        -66 |       -234 |       -998 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project                          |         16 |       -698 |        -66 |       -234 |       -998 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project (Files)                  |          1 |         -8 |         -3 |         -4 |        -15 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer                 |          2 |       -170 |        -23 |        -44 |       -237 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo                    |         13 |       -520 |        -40 |       -186 |       -746 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo (Files)            |          7 |       -336 |        -37 |       -124 |       -497 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc                |          5 |       -177 |         -3 |        -59 |       -239 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util               |          1 |         -7 |          0 |         -3 |        -10 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\test                                               |          1 |         -3 |         -3 |         -2 |         -8 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\test\java                                          |          1 |         -3 |         -3 |         -2 |         -8 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\test\java\bytejam                                  |          1 |         -3 |         -3 |         -2 |         -8 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\app\src\test\java\bytejam\project                          |          1 |         -3 |         -3 |         -2 |         -8 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\gradle                                                     |          1 |         -7 |          0 |         -1 |         -8 |
| ..\..\..\..\cadel.conner\Desktop\ByteJam-Project\gradle\wrapper                                             |          1 |         -7 |          0 |         -1 |         -8 |
| app                                                                                                         |         39 |      1,398 |        133 |        318 |      1,849 |
| app (Files)                                                                                                 |          1 |         41 |         13 |         13 |         67 |
| app\bin                                                                                                     |         18 |        438 |          0 |          2 |        440 |
| app\bin\main                                                                                                |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam                                                                                        |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam\project                                                                                |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam\project (Files)                                                                        |          1 |          9 |          0 |          0 |          9 |
| app\bin\main\bytejam\project\renderer                                                                       |          2 |        106 |          0 |          1 |        107 |
| app\bin\main\bytejam\project\turbo                                                                          |         14 |        318 |          0 |          1 |        319 |
| app\bin\main\bytejam\project\turbo (Files)                                                                  |          8 |        201 |          0 |          1 |        202 |
| app\bin\main\bytejam\project\turbo\goc                                                                      |          5 |        110 |          0 |          0 |        110 |
| app\bin\main\bytejam\project\turbo\util                                                                     |          1 |          7 |          0 |          0 |          7 |
| app\bin\test                                                                                                |          1 |          5 |          0 |          0 |          5 |
| app\bin\test\bytejam                                                                                        |          1 |          5 |          0 |          0 |          5 |
| app\bin\test\bytejam\project                                                                                |          1 |          5 |          0 |          0 |          5 |
| app\src                                                                                                     |         20 |        919 |        120 |        303 |      1,342 |
| app\src\main                                                                                                |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java                                                                                           |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam                                                                                   |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam\project                                                                           |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam\project (Files)                                                                   |          1 |          8 |          3 |          4 |         15 |
| app\src\main\java\bytejam\project\renderer                                                                  |          4 |        399 |         65 |        118 |        582 |
| app\src\main\java\bytejam\project\turbo                                                                     |         14 |        509 |         49 |        179 |        737 |
| app\src\main\java\bytejam\project\turbo (Files)                                                             |          8 |        295 |         22 |        107 |        424 |
| app\src\main\java\bytejam\project\turbo\goc                                                                 |          5 |        183 |         23 |         66 |        272 |
| app\src\main\java\bytejam\project\turbo\util                                                                |          1 |         31 |          4 |          6 |         41 |
| app\src\test                                                                                                |          1 |          3 |          3 |          2 |          8 |
| app\src\test\java                                                                                           |          1 |          3 |          3 |          2 |          8 |
| app\src\test\java\bytejam                                                                                   |          1 |          3 |          3 |          2 |          8 |
| app\src\test\java\bytejam\project                                                                           |          1 |          3 |          3 |          2 |          8 |
| assets                                                                                                      |          1 |         34 |          0 |         11 |         45 |
| assets\shaders                                                                                              |          1 |         34 |          0 |         11 |         45 |
| gradle                                                                                                      |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                              |          1 |          7 |          0 |          1 |          8 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                    | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| \Users\cadel.conner\Desktop\ByteJam-Project\README.md                                                       | Markdown        |         -1 |          0 |          0 |         -1 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\App.class                          | Java            |         -9 |          0 |          0 |         -9 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\renderer\Shader.class              | Java            |        -68 |          0 |         -1 |        -69 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\renderer\Texture.class             | Java            |        -38 |          0 |          0 |        -38 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Camera.class                 | Java            |        -18 |          0 |          0 |        -18 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\KeyListener.class            | Java            |        -16 |          0 |          0 |        -16 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\MouseListener.class          | Java            |        -14 |          0 |          0 |        -14 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\PresentScene.class           | Java            |        -13 |          0 |          0 |        -13 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Scene.class                  | Java            |         -8 |          0 |          0 |         -8 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\TitleScene.class             | Java            |        -54 |          0 |         -1 |        -55 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Window.class                 | Java            |        -68 |          0 |          0 |        -68 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Animation.class          | Java            |        -25 |          0 |          0 |        -25 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Background.class         | Java            |        -19 |          0 |          0 |        -19 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Collision.class          | Java            |        -10 |          0 |          0 |        -10 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Entity.class             | Java            |        -35 |          0 |          0 |        -35 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Projectile.class         | Java            |        -12 |          0 |          0 |        -12 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\Time.class              | Java            |         -7 |          0 |          0 |         -7 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\bin\test\bytejam\project\AppTest.class                      | Java            |         -5 |          0 |          0 |         -5 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\build.gradle                                                | Gradle          |        -41 |        -13 |        -13 |        -67 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\App.java                      | Java            |         -8 |         -3 |         -4 |        -15 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Shader.java          | Java            |       -109 |        -18 |        -25 |       -152 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Texture.java         | Java            |        -61 |         -5 |        -19 |        -85 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Camera.java             | Java            |        -33 |          0 |         -9 |        -42 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\KeyListener.java        | Java            |        -25 |          0 |         -9 |        -34 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\MouseListener.java      | Java            |        -60 |          0 |        -16 |        -76 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\PresentScene.java       | Java            |        -10 |         -1 |         -8 |        -19 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Scene.java              | Java            |         -9 |         -2 |         -9 |        -20 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\TitleScene.java         | Java            |        -88 |        -16 |        -36 |       -140 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Window.java             | Java            |       -111 |        -18 |        -37 |       -166 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Animation.java      | Java            |        -46 |          0 |        -13 |        -59 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Background.java     | Java            |        -18 |          0 |        -10 |        -28 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Collision.java      | Java            |        -20 |          0 |         -7 |        -27 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Entity.java         | Java            |        -79 |         -3 |        -21 |       -103 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Projectile.java     | Java            |        -14 |          0 |         -8 |        -22 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\Time.java          | Java            |         -7 |          0 |         -3 |        -10 |
| \Users\cadel.conner\Desktop\ByteJam-Project\app\src\test\java\bytejam\project\AppTest.java                  | Java            |         -3 |         -3 |         -2 |         -8 |
| \Users\cadel.conner\Desktop\ByteJam-Project\gradle\wrapper\gradle-wrapper.properties                        | Java Properties |         -7 |          0 |         -1 |         -8 |
| \Users\cadel.conner\Desktop\ByteJam-Project\gradlew.bat                                                     | Batch           |        -41 |        -30 |        -22 |        -93 |
| \Users\cadel.conner\Desktop\ByteJam-Project\settings.gradle                                                 | Gradle          |         -5 |         -7 |         -3 |        -15 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\README.md                                                   | Markdown        |          1 |          0 |          0 |          1 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\App.class                      | Java            |          9 |          0 |          0 |          9 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\renderer\Shader.class          | Java            |         68 |          0 |          1 |         69 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\renderer\Texture.class         | Java            |         38 |          0 |          0 |         38 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Camera.class             | Java            |         18 |          0 |          0 |         18 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\KeyListener.class        | Java            |         16 |          0 |          0 |         16 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\MouseListener.class      | Java            |         14 |          0 |          0 |         14 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\PresentScene.class       | Java            |         13 |          0 |          0 |         13 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Scene.class              | Java            |          8 |          0 |          0 |          8 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Sound.class              | Java            |         10 |          0 |          0 |         10 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\TitleScene.class         | Java            |         54 |          0 |          1 |         55 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\Window.class             | Java            |         68 |          0 |          0 |         68 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Animation.class      | Java            |         25 |          0 |          0 |         25 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Background.class     | Java            |         19 |          0 |          0 |         19 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Collision.class      | Java            |         13 |          0 |          0 |         13 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Entity.class         | Java            |         41 |          0 |          0 |         41 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\goc\Projectile.class     | Java            |         12 |          0 |          0 |         12 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\Time.class          | Java            |          7 |          0 |          0 |          7 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\bin\test\bytejam\project\AppTest.class                  | Java            |          5 |          0 |          0 |          5 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\build.gradle                                            | Gradle          |         41 |         13 |         13 |         67 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\App.java                  | Java            |          8 |          3 |          4 |         15 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\RenderBatch.java | Java            |        180 |         41 |         65 |        286 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Renderer.java    | Java            |         49 |          0 |         13 |         62 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Shader.java      | Java            |        115 |         18 |         26 |        159 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Texture.java     | Java            |         55 |          6 |         14 |         75 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Camera.java         | Java            |         33 |          0 |          9 |         42 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\KeyListener.java    | Java            |         25 |          0 |          9 |         34 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\MouseListener.java  | Java            |         60 |          0 |         16 |         76 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\PresentScene.java   | Java            |         10 |          1 |          8 |         19 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Scene.java          | Java            |         13 |          2 |         10 |         25 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Sound.java          | Java            |          9 |          0 |          6 |         15 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\TitleScene.java     | Java            |         31 |          1 |         12 |         44 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Window.java         | Java            |        114 |         18 |         37 |        169 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Animation.java  | Java            |         37 |          9 |         14 |         60 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Background.java | Java            |         15 |          0 |         10 |         25 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Collision.java  | Java            |         16 |          0 |          6 |         22 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Entity.java     | Java            |        101 |         14 |         28 |        143 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\goc\Projectile.java | Java            |         14 |          0 |          8 |         22 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\AssetPool.java | Java            |         31 |          4 |          6 |         41 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\app\src\test\java\bytejam\project\AppTest.java              | Java            |          3 |          3 |          2 |          8 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\assets\shaders\default.glsl                                 | GLSL            |         34 |          0 |         11 |         45 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\gradle\wrapper\gradle-wrapper.properties                    | Java Properties |          7 |          0 |          1 |          8 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\gradlew.bat                                                 | Batch           |         41 |         30 |         22 |         93 |
| c:\Users\cadel\OneDrive\Desktop\ByteJam-Project\settings.gradle                                             | Gradle          |          5 |          7 |          3 |         15 |
| Total                                                                                                       |                 |        271 |         51 |         78 |        400 |
+-------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
